x,y,z
0.002,0.030,30.000
0.001,-0.005,30.000
0.016,-0.036,30.000
0.058,-0.081,30.000
0.154,-0.142,30.000
0.291,-0.197,29.999
0.467,-0.244,29.996
0.680,-0.279,29.992
0.927,-0.301,29.986
1.209,-0.311,29.976
1.521,-0.307,29.961
1.861,-0.289,29.942
2.226,-0.258,29.917
2.612,-0.214,29.886
3.015,-0.157,29.848
3.432,-0.089,29.803
3.858,-0.011,29.751
4.288,0.076,29.692
4.717,0.172,29.627
5.141,0.277,29.556
5.559,0.389,29.480
5.967,0.504,29.401
6.359,0.618,29.318
6.732,0.732,29.235
7.084,0.843,29.152
7.411,0.942,29.070
7.707,1.026,28.993
7.964,1.091,28.923
8.175,1.137,28.865
8.332,1.165,28.820
8.462,1.179,28.782
