x,y,z
4.980,0.076,54.774
4.905,0.090,54.781
4.821,0.111,54.788
4.711,0.138,54.798
4.575,0.170,54.809
4.416,0.207,54.822
4.239,0.249,54.836
4.046,0.294,54.851
3.841,0.341,54.866
3.627,0.386,54.880
3.407,0.425,54.894
3.178,0.457,54.908
2.944,0.483,54.921
2.706,0.502,54.933
2.468,0.513,54.945
2.228,0.514,54.955
1.989,0.509,54.964
1.753,0.497,54.972
1.523,0.479,54.979
1.303,0.455,54.985
1.093,0.427,54.989
0.897,0.393,54.993
0.716,0.355,54.995
0.552,0.314,54.997
0.408,0.269,54.998
0.283,0.222,54.999
0.180,0.174,55.000
0.099,0.125,55.000
0.042,0.076,55.000
0.008,0.030,55.000
0.003,0.017,55.000
